player_id,player_name,position,team,projected_points,confidence,overall_rank,position_rank,tier,tier_label
00-0037331,Zander Horvath,RB,MIA,343.08006029391345,75,211.0,153.0,,Deep League
00-0038389,Israel Abanikanda,RB,SF,343.08006029391345,75,211.0,153.0,5.0,Handcuff
00-0037509,Sincere McCormick,RB,LV,342.91718189000676,75,213.0,155.0,,Deep League
00-0036543,Spencer Brown,RB,ATL,342.40362525800975,75,214.0,156.0,,Deep League
00-0039391,Kimani Vidal,RB,LAC,340.6064419888412,75,218.0,157.0,,Deep League
00-0031595,Michael Burton,RB,DEN,340.25809064932554,70,219.0,158.0,,Deep League
00-0039617,Jacob Kibodi,RB,CLE,339.44945878808323,75,222.0,159.0,5.0,Handcuff
00-0039573,Blake Watson,RB,DEN,336.975840483011,75,227.0,160.0,5.0,Handcuff
00-0039811,MarShawn Lloyd,RB,GB,336.975840483011,75,227.0,160.0,,Deep League
00-0035726,Jakob Johnson,RB,NYG,335.43991510478054,85,236.0,162.0,5.0,Handcuff
00-0033376,Patrick Ricard,RB,BAL,332.12825482994657,85,248.0,163.0,,Deep League
00-0037450,Tyreik McAllister,RB,LV,331.81795752270585,75,250.0,164.0,,Deep League
00-0036187,Reggie Gilliam,RB,BUF,330.08891752847813,85,256.0,165.0,,Deep League
00-0037265,Snoop Conner,RB,DAL,327.7010859667564,75,266.0,166.0,,Deep League
00-0039244,Chris Collier,RB,LV,327.63710000659813,75,267.0,167.0,5.0,Handcuff
00-0039299,George Holani,RB,SEA,326.0243699116107,75,273.0,168.0,5.0,Handcuff
00-0039796,Rasheen Ali,RB,BAL,324.32622538647956,75,277.0,169.0,,Deep League
00-0039393,Jase McClellan,RB,ATL,323.92244750230304,75,279.0,170.0,,Deep League
00-0039757,Terrell Jennings,RB,NE,322.8937124158898,75,286.0,171.0,,Deep League
00-0036336,Anthony McFarland,RB,MIA,322.76408373606426,70,287.0,172.0,5.0,Handcuff
00-0035311,Myles Gaskin,RB,JAX,320.2272791258162,70,295.0,173.0,,Deep League
00-0036654,Demetric Felton,RB,WAS,317.98980829118545,60,305.0,174.0,5.0,Handcuff
00-0037609,Aaron Shampklin,RB,PIT,317.87163216241925,75,306.0,175.0,5.0,Handcuff
00-0038614,Scott Matlock,RB,LAC,314.61280127625366,75,323.0,176.0,,Deep League
00-0036370,Joshua Kelley,RB,TEN,306.7136003721163,70,361.0,177.0,,Deep League
00-0037456,Troy Hairston,RB,HOU,306.3703605729813,75,366.0,178.0,,Deep League
00-0036842,Kene Nwangwu,RB,NYJ,298.02446662470174,85,409.0,179.0,,Deep League
00-0039136,Zach Evans,RB,NYJ,288.0102328685834,75,453.0,180.0,,Deep League
00-0039603,British Brooks,RB,HOU,233.50597258603696,75,679.0,181.0,5.0,Handcuff
00-0039407,Dylan Laube,RB,LV,212.22674569110012,75,703.0,182.0,5.0,Handcuff
00-0036582,Nate McCrary,RB,GB,203.46508384866837,75,712.0,183.0,,Deep League
00-0034959,Andrew Beck,RB,HOU,198.37874468677506,70,714.0,184.0,5.0,Handcuff
00-0036727,Adam Prentice,RB,NO,177.98826754919912,85,724.0,185.0,5.0,Handcuff
00-0039581,Trent Pennix,RB,IND,113.5295483200156,65,751.0,186.0,,Deep League
00-0039651,Sam Schnee,RB,TEN,113.5295483200156,65,751.0,186.0,,Deep League
00-0037495,Bryant Koback,RB,SEA,113.5295483200156,65,751.0,186.0,5.0,Handcuff
00-0038930,Carlos Washington,RB,ATL,113.5295483200156,65,751.0,186.0,5.0,Handcuff
00-0039678,Austin Jones,RB,WAS,113.5295483200156,65,751.0,186.0,5.0,Handcuff
00-0037329,Brittain Brown,RB,SEA,113.5295483200156,65,751.0,186.0,5.0,Handcuff
00-0039554,Jalen Jackson,RB,JAX,113.5295483200156,65,751.0,186.0,5.0,Handcuff
00-0038419,Robert Burns,RB,ATL,113.5295483200156,65,751.0,186.0,,Deep League
00-0039385,Keilan Robinson,RB,JAX,113.5295483200156,65,751.0,186.0,,Deep League
00-0039266,Kendall Milton,RB,CIN,113.5295483200156,65,751.0,186.0,,Deep League
00-0038714,Hassan Hall,RB,ARI,113.5295483200156,65,751.0,186.0,5.0,Handcuff
00-0039302,Kobe Lewis,RB,SEA,113.5295483200156,65,751.0,186.0,,Deep League
00-0039311,Emani Bailey,RB,CAR,113.5295483200156,65,751.0,186.0,5.0,Handcuff
00-0038965,Ellis Merriweather,RB,GB,113.5295483200156,65,751.0,186.0,5.0,Handcuff
00-0038910,SaRodorick Thompson Jr.,RB,LA,113.5295483200156,65,751.0,186.0,,Deep League
00-0039466,Ian Wheeler,RB,CHI,113.5295483200156,65,751.0,186.0,5.0,Handcuff
00-0039228,Louis Rees-Zammit,RB,JAX,113.5295483200156,65,751.0,186.0,,Deep League
00-0039652,Jabari Small,RB,TEN,113.5295483200156,65,751.0,186.0,5.0,Handcuff
00-0039629,Elijah Collins,RB,CIN,113.5295483200156,65,751.0,186.0,5.0,Handcuff
