player_id,player_name,position,team,projected_points,confidence,overall_rank,position_rank,tier,tier_label
00-0039067,Rashee Rice,WR,KC,312.6758851466101,60,329.0,151.0,,Deep League
00-0034418,Cedrick Wilson Jr.,WR,NO,312.50787714490093,70,330.0,152.0,5.0,Deep League
00-0035298,Scott Miller,WR,PIT,312.4811577916076,70,331.0,153.0,,Deep League
00-0036219,Marquez Callaway,WR,TB,312.20260005000915,70,332.0,154.0,,Deep League
00-0037524,Tay Martin,WR,TEN,311.70445475943654,75,334.0,155.0,,Deep League
00-0038679,Tyrell Shavers,WR,BUF,311.70445475943654,75,334.0,155.0,,Deep League
00-0037348,Tanner Conner,WR,MIA,311.1947293288973,75,336.0,157.0,,Deep League
00-0037420,Kwamie Lassiter II,WR,CIN,310.82376217569833,75,337.0,158.0,,Deep League
00-0037291,Jalen Nailor,WR,MIN,310.80611055098655,70,338.0,159.0,,Deep League
00-0037132,Britain Covey,WR,PHI,310.6872896188594,75,339.0,160.0,5.0,Deep League
00-0037257,David Bell,WR,CLE,310.6238427736936,70,340.0,161.0,,Deep League
00-0035297,Kelvin Harmon,WR,DAL,310.2325140192814,90,342.0,162.0,,Deep League
00-0039880,Malik Washington,WR,MIA,310.2325140192814,90,342.0,162.0,,Deep League
00-0039355,Luke McCaffrey,WR,WAS,310.2325140192814,90,342.0,162.0,,Deep League
00-0032128,Chris Conley,WR,SF,309.7814325136895,70,345.0,165.0,,Deep League
00-0039916,Ricky Pearsall,WR,SF,309.49026395445924,75,346.0,166.0,,Deep League
00-0036620,Dee Eskridge,WR,MIA,309.4276879906521,85,347.0,167.0,,Deep League
00-0038667,Elijah Cooks,WR,PHI,309.1322071703803,75,348.0,168.0,,Deep League
00-0033589,David Moore,WR,CAR,308.9683257376488,70,350.0,169.0,,Deep League
00-0039747,Ainias Smith,WR,PHI,308.836462977245,75,351.0,170.0,5.0,Deep League
00-0036627,Dez Fitzpatrick,WR,LAC,308.836462977245,75,351.0,170.0,,Deep League
00-0035891,Cody White,WR,SEA,308.29145451213867,85,353.0,172.0,,Deep League
00-0039491,Jalen Coker,WR,CAR,307.9895196811375,75,354.0,173.0,,Deep League
00-0038824,Ryan Miller,WR,TB,307.9895196811375,75,354.0,173.0,,Deep League
00-0036841,Austin Trammell,WR,JAX,307.7606257765388,85,356.0,175.0,5.0,Deep League
00-0034860,Dante Pettis,WR,NO,307.7181929600724,70,357.0,176.0,,Deep League
00-0032543,Alex Erickson,WR,HOU,307.7181929600724,70,357.0,176.0,5.0,Deep League
00-0037487,Deven Thompkins,WR,CAR,306.9938865467842,70,359.0,178.0,,Deep League
00-0038612,A.T. Perry,WR,DEN,306.755211507613,75,360.0,179.0,5.0,Deep League
00-0033572,Jamal Agnew,WR,PIT,306.3875586705666,70,363.0,180.0,,Deep League
00-0036271,Quez Watkins,WR,PIT,306.3875586705666,70,363.0,180.0,,Deep League
00-0036427,Tyler Johnson,WR,LA,306.3875586705666,70,363.0,180.0,,Deep League
00-0035341,Trenton Irwin,WR,CAR,306.0800163833354,70,367.0,183.0,,Deep League
00-0038496,Xavier Gipson,WR,NYJ,306.0033158739453,75,368.0,184.0,,Deep League
00-0034854,KhaDarel Hodge,WR,ATL,305.86638063417075,70,369.0,185.0,,Deep League
00-0032398,Chris Moore,WR,WAS,305.77574543802905,70,370.0,186.0,,Deep League
00-0039365,Jacob Cowing,WR,SF,305.5453104190997,75,371.0,187.0,,Deep League
00-0039052,Trey Palmer,WR,TB,305.35271395206803,60,372.0,188.0,,Deep League
00-0032464,Kalif Raymond,WR,DET,305.2422877916433,70,373.0,189.0,,Deep League
00-0037742,Treylon Burks,WR,TEN,304.78447069227707,85,374.0,190.0,,Deep League
00-0035976,Dan Chisena,WR,CAR,304.5196028502328,75,375.0,191.0,,Deep League
00-0036646,Simi Fehoko,WR,LAC,304.20009614849766,85,377.0,192.0,,Deep League
00-0038938,Jalin Hyatt,WR,NYG,303.8314332716609,75,378.0,193.0,,Deep League
00-0031373,Martavis Bryant,WR,WAS,303.82761879473543,70,379.0,194.0,,Deep League
00-0035480,Malik Taylor,WR,NYJ,302.3945592790857,85,382.0,195.0,,Deep League
00-0036233,Donovan Peoples-Jones,WR,DET,302.342808210417,95,383.0,196.0,,Deep League
00-0036671,Dax Milne,WR,CAR,302.2912205436844,75,384.0,197.0,,Deep League
00-0036165,Isaiah Hodgins,WR,NYG,302.2201044022113,70,385.0,198.0,,Deep League
00-0034054,River Cracraft,WR,MIA,301.2637352579792,85,386.0,199.0,,Deep League
00-0038465,Malik Heath,WR,GB,300.7635068565237,60,387.0,200.0,,Deep League
00-0038647,Ronnie Bell,WR,SF,300.40277782923386,75,388.0,201.0,,Deep League
00-0035414,Jalen Guyton,WR,LV,300.38485820997533,70,389.0,202.0,,Deep League
00-0036133,James Proche,WR,CLE,300.21540404407716,85,390.0,203.0,,Deep League
00-0037708,Maurice Alexander,WR,DET,300.20044964350745,75,391.0,204.0,,Deep League
00-0036657,Seth Williams,WR,DAL,300.1991737951261,75,392.0,205.0,,Deep League
00-0037422,Kendric Pryor,WR,CIN,300.1991737951261,75,392.0,205.0,,Deep League
00-0039816,Anthony Gould,WR,IND,300.1991737951261,75,392.0,205.0,5.0,Deep League
00-0036491,Tarik Black,WR,MIA,300.1991737951261,75,392.0,205.0,,Deep League
00-0036858,Jalen Camp,WR,CLE,300.1991737951261,75,392.0,205.0,,Deep League
00-0036918,Jacob Harris,WR,PHI,300.1991737951261,75,392.0,205.0,,Deep League
00-0035164,Cody Thompson,WR,TB,300.1991737951261,75,392.0,205.0,,Deep League
00-0038979,Cedric Tillman,WR,CLE,300.13016646097697,75,399.0,212.0,5.0,Deep League
00-0036999,Anthony Schwartz,WR,MIA,300.0721276724364,60,400.0,213.0,5.0,Deep League
00-0036255,Denzel Mims,WR,PIT,299.92176681614086,85,401.0,214.0,,Deep League
00-0038608,Kayshon Boutte,WR,NE,299.58305354202844,60,403.0,215.0,,Deep League
00-0037801,KaVontae Turpin,WR,DAL,299.4358050778427,70,404.0,216.0,,Deep League
00-0038104,Tyquan Thornton,WR,KC,298.99251256863016,70,405.0,217.0,,Deep League
00-0039236,Johnny Wilson,WR,PHI,298.5448535210648,75,406.0,218.0,,Deep League
00-0039386,Bub Means,WR,NO,298.4477035316554,75,407.0,219.0,5.0,Deep League
00-0038492,Jason Brownlee,WR,KC,298.4477035316554,75,407.0,219.0,,Deep League
00-0036955,Terrace Marshall Jr.,WR,LV,297.731293644,70,410.0,221.0,,Deep League
00-0036862,Ben Skowronek,WR,PIT,297.6011026586739,70,411.0,222.0,5.0,Deep League
00-0036080,Easop Winston,WR,NYJ,297.53251918076063,75,412.0,223.0,,Deep League
00-0032688,Robbie Chosen,WR,MIA,296.2502075776325,85,413.0,224.0,,Deep League
00-0037300,Mike Woods,WR,CLE,295.9957802025166,75,414.0,225.0,,Deep League
00-0036652,Racey McMath,WR,DAL,295.3725481983362,75,415.0,226.0,,Deep League
00-0039810,Jermaine Burton,WR,CIN,295.1565509735101,75,416.0,227.0,,Deep League
00-0035406,Lil'Jordan Humphrey,WR,DEN,294.97295927727345,70,417.0,228.0,,Deep League
