player_id,player_name,position,team,projected_points,confidence,prev_season_points,prev_season_games,age,overall_rank,position_rank,tier,tier_label
00-0034829,Mike Gesicki,TE,CIN,255.9120452497867,High,148.89999961853027,15.0,29.9,124.0,20.0,,Deep League
00-0034270,Tyler Conklin,TE,NYJ,252.73420738892338,High,303.10000228881836,17.0,30.1,126.0,21.0,,Deep League
00-0033090,Hunter Henry,TE,NE,246.21293539317747,High,253.9000015258789,13.0,30.7,135.0,22.0,,Deep League
00-0031260,Logan Thomas,TE,SF,244.99479961697287,High,189.79999923706055,13.0,34.2,138.0,23.0,,Deep League
00-0038996,Tucker Kraft,TE,GB,244.68994777281722,High,201.9000015258789,12.0,24.8,139.0,24.0,,Deep League
00-0037838,Isaiah Likely,TE,BAL,237.44405248177722,High,219.10000228881836,15.0,25.4,150.0,25.0,,Deep League
00-0036970,Kyle Pitts,TE,ATL,228.45856893475786,High,305.30000457167625,17.0,24.9,160.0,26.0,,Deep League
00-0033110,Tyler Higbee,TE,LA,226.5533120205412,Medium,252.0,16.0,32.7,163.0,27.0,,Deep League
00-0036637,Noah Gray,TE,KC,221.70433979511859,High,193.00000152736902,20.0,26.3,167.0,28.0,,Deep League
00-0036040,Juwan Johnson,TE,NO,214.76623102404932,High,213.29999923706055,13.0,29.0,176.0,29.0,,Deep League
00-0032392,Austin Hooper,TE,NE,201.31700970111524,High,122.89999961853027,16.0,30.8,196.0,30.0,,Deep League
00-0033357,Taysom Hill,TE,NO,198.1513797887572,High,274.5199987888336,16.0,35.0,231.0,31.0,,Deep League
00-0035644,Noah Fant,TE,SEA,194.86758891749474,High,169.4000015258789,14.0,27.8,299.0,32.0,,Deep League
00-0035689,Dawson Knox,TE,BUF,187.61874171506946,High,136.89999961853027,12.0,28.8,371.0,33.0,,Deep League
00-0033895,Gerald Everett,TE,CHI,176.34138777438585,High,265.10000228881836,15.0,31.2,383.0,34.0,,Deep League
00-0036244,Colby Parkinson,TE,LA,170.254910168553,High,135.20000076293945,14.0,26.7,391.0,35.0,,Deep League
00-0034159,Will Dissly,TE,LAC,160.76322869994576,High,90.70000076293945,12.0,29.1,404.0,36.0,,Deep League
00-0034364,Jordan Akins,TE,CLE,154.03858816918182,High,71.70000076293945,13.0,33.4,407.0,37.0,,Deep League
00-0039144,Luke Musgrave,TE,GB,153.88368001604886,High,212.79999923706055,13.0,25.0,408.0,38.0,,Deep League
00-0039066,Michael Mayer,TE,LV,148.09204807719527,High,155.89999961853027,12.0,24.2,413.0,39.0,,Deep League
